"start","end","downloads","package"
2018-07-01,2018-07-31,377,"AMOEBA"
2018-08-01,2018-08-31,248,"AMOEBA"
2018-09-01,2018-09-30,629,"AMOEBA"
2018-10-01,2018-10-31,526,"AMOEBA"
2018-11-01,2018-11-30,489,"AMOEBA"
2018-12-01,2018-12-31,403,"AMOEBA"
2019-01-01,2019-01-31,543,"AMOEBA"
2019-02-01,2019-02-28,494,"AMOEBA"
2019-03-01,2019-03-31,608,"AMOEBA"
2019-04-01,2019-04-30,639,"AMOEBA"
2019-05-01,2019-05-31,963,"AMOEBA"
2019-06-01,2019-06-30,471,"AMOEBA"
2019-07-01,2019-07-31,717,"AMOEBA"
2019-08-01,2019-08-31,605,"AMOEBA"
2019-09-01,2019-09-30,672,"AMOEBA"
2019-10-01,2019-10-31,608,"AMOEBA"
2019-11-01,2019-11-30,620,"AMOEBA"
2019-12-01,2019-12-31,834,"AMOEBA"
2020-01-01,2020-01-31,1187,"AMOEBA"
2020-02-01,2020-02-29,765,"AMOEBA"
2020-03-01,2020-03-31,690,"AMOEBA"
2020-04-01,2020-04-30,775,"AMOEBA"
2020-05-01,2020-05-07,157,"AMOEBA"
2018-12-01,2018-12-31,16,"areal"
2019-01-01,2019-01-31,824,"areal"
2019-02-01,2019-02-28,362,"areal"
2019-03-01,2019-03-31,526,"areal"
2019-04-01,2019-04-30,551,"areal"
2019-05-01,2019-05-31,879,"areal"
2019-06-01,2019-06-30,420,"areal"
2019-07-01,2019-07-31,607,"areal"
2019-08-01,2019-08-31,452,"areal"
2019-09-01,2019-09-30,534,"areal"
2019-10-01,2019-10-31,430,"areal"
2019-11-01,2019-11-30,488,"areal"
2019-12-01,2019-12-31,473,"areal"
2020-01-01,2020-01-31,630,"areal"
2020-02-01,2020-02-29,633,"areal"
2020-03-01,2020-03-31,632,"areal"
2020-04-01,2020-04-30,758,"areal"
2020-05-01,2020-05-07,143,"areal"
2015-01-01,2015-01-31,1388,"ash"
2015-02-01,2015-02-28,1489,"ash"
2015-03-01,2015-03-31,1657,"ash"
2015-04-01,2015-04-30,1778,"ash"
2015-05-01,2015-05-31,1617,"ash"
2015-06-01,2015-06-30,1563,"ash"
2015-07-01,2015-07-31,1264,"ash"
2015-08-01,2015-08-31,1453,"ash"
2015-09-01,2015-09-30,2921,"ash"
2015-10-01,2015-10-31,2263,"ash"
2015-11-01,2015-11-30,2125,"ash"
2015-12-01,2015-12-31,1769,"ash"
2016-01-01,2016-01-31,1981,"ash"
2016-02-01,2016-02-29,2089,"ash"
2016-03-01,2016-03-31,1928,"ash"
2016-04-01,2016-04-30,1868,"ash"
2016-05-01,2016-05-31,2150,"ash"
2016-06-01,2016-06-30,1970,"ash"
2016-07-01,2016-07-31,1910,"ash"
2016-08-01,2016-08-31,1963,"ash"
2016-09-01,2016-09-30,2236,"ash"
2016-10-01,2016-10-31,2652,"ash"
2016-11-01,2016-11-30,3019,"ash"
2016-12-01,2016-12-31,1754,"ash"
2017-01-01,2017-01-31,2435,"ash"
2017-02-01,2017-02-28,2750,"ash"
2017-03-01,2017-03-31,3040,"ash"
2017-04-01,2017-04-30,3211,"ash"
2017-05-01,2017-05-31,2658,"ash"
2017-06-01,2017-06-30,2374,"ash"
